;Maio de 2025;Abril de 2025;Março de 2025;Fevereiro de 2025;Janeiro de 2025;Dezembro de 2024;Novembro de 2024;Outubro de 2024;Setembro de 2024;Agosto de 2024;Julho de 2024;Junho de 2024;Maio de 2024;Abril de 2024;Março de 2024;Fevereiro de 2024;Janeiro de 2024;Dezembro de 2023;Novembro de 2023;Outubro de 2023;Setembro de 2023;Agosto de 2023;Julho de 2023;Junho de 2023;Maio de 2023;Abril de 2023;Março de 2023;Fevereiro de 2023;Janeiro de 2023;Dezembro de 2022;Novembro de 2022;Outubro de 2022;Setembro de 2022;Agosto de 2022;Julho de 2022;Junho de 2022;Maio de 2022;Abril de 2022;Março de 2022;Fevereiro de 2022;Janeiro de 2022
;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º 
PT: Portugal;7800668;7130729;5563681;4173779;3669550;4151486;5015151;7570229;8442778;10538303;9049614;7828625;7689493;6541951;5730508;4279170;3453292;4045091;4574288;7384027;8238579;10146558;8816485;7456723;7144581;6837609;5085292;4015685;3434232;3727766;4252017;6790071;7691275;9959209;8665889;7180852;6499189;5999962;4012532;2922077;1993952
1: Continente;6585964;6016288;4587854;3376573;2938793;3420168;4134260;6443001;7193180;9113604;7708578;6636194;6527379;5520653;4785232;3510393;2787371;3367287;3764453;6307940;7030094;8755968;7515345;6319205;6074077;5825349;4188649;3294678;2749783;3055572;3492098;5770680;6560686;8612450;7402468;6072800;5488565;5075227;3297815;2442312;1585554
11: Norte;1431403;1282414;990986;751274;672920;840470;954270;1319779;1480273;1857934;1502696;1301539;1343584;1126950;995542;749648;631211;820410;809076;1259788;1418077;1732291;1429710;1222633;1230630;1190754;857634;690781;600832;739346;739381;1127059;1245424;1641848;1340013;1110295;1069023;1007139;664922;525143;347052
111: Alto Minho;94698;83831;56980;40169;36687;60047;54901;75659;108000;176406;123991;91618;88201;69559;57479;40167;31787;61198;40543;75093;103547;165190;124284;83553;76432;82527;45058;39256;31847;47643;38329;67842;91257;160781;117979;84320;71808;71462;44783;38613;25958
1111601: Arcos de Valdevez;7854;8483;6508;4419;4583;7747;5853;7583;11025;18865;13957;9842;8275;6962;7114;4858;4019;7695;4161;6795;9444;17035;12294;7849;6448;8109;3118;3177;2791;3998;2638;5805;8641;15629;10788;8051;6379;6719;4924;3944;2747
1111602: Caminha;12656;10355;4886;2715;2871;5398;4268;7794;15299;26805;17991;11327;12314;9116;5629;3131;2261;5978;3489;8625;15465;24019;18184;10518;10040;11380;4229;4041;3035;4536;3458;8422;13295;23931;18247;12063;10141;9319;6096;4596;3104
1111603: Melgaço;4867;4676;2987;2157;627;2165;3456;4253;5185;9068;6188;5084;4493;4225;2738;2131;287;2369;2603;4283;5709;9243;6214;4001;3997;4811;2507;2028;413;2379;2616;3718;5758;10043;6055;4756;3790;4187;2244;1795;343
1111604: Monção;3467;3422;2860;2204;1842;3404;2576;4174;4932;9846;5155;4674;3297;3131;2625;2133;1597;3498;2378;3886;4755;8261;4839;4109;3180;3973;3201;2377;2157;2467;2222;3369;4079;7932;4824;3929;2842;3481;2375;1977;1096
1111605: Paredes de Coura;1166;743;349;27;116;412;341;424;962;2881;1659;917;899;677;409;183;102;637;170;321;989;3189;1561;933;933;1079;439;127;72;270;187;670;1198;3426;1502;1121;763;435;206;229;201
1111606: Ponte da Barca;3217;3143;1861;1265;1268;2189;1668;2248;4123;9961;4725;3074;2444;2205;2485;1642;1185;2245;1554;2806;3802;8490;5423;3446;2953;3628;1930;1827;1513;2171;1823;2862;4132;8022;5102;3827;2875;3026;1716;1669;1362
1111607: Ponte de Lima;10953;10437;6940;4806;4648;7220;6417;8931;13091;24941;16178;10304;11218;8377;7253;4806;3895;7483;4531;9320;13257;23771;17930;10946;9873;10213;5206;4583;4221;5677;4041;8384;12021;21112;14968;9810;8496;8612;4518;4717;2833
1111608: Valença;6721;6520;3495;2807;2303;3984;3789;5606;9500;10860;7491;6151;7094;5325;3931;2625;1977;4086;2565;4777;6912;9676;6334;5571;5553;5954;2874;2393;2476;3688;2858;4929;6449;11156;6895;5916;5263;5263;3466;2556;1644
1111609: Viana do Castelo;37561;30959;23224;16473;15554;23112;22018;28990;37351;51289;43118;34048;33248;25245;21007;15740;14066;22113;15680;28370;35900;49018;42493;29764;28486;27053;18182;15550;12765;17857;15437;24370;28248;46066;40005;28697;26811;25108;16466;14257;10428
1111610: Vila Nova de Cerveira;6236;5093;3870;3296;2875;4416;4515;5656;6532;11890;7529;6197;4919;4296;4288;2918;2398;5094;3412;5910;7314;12488;9012;6416;4969;6327;3372;3153;2404;4600;3049;5313;7436;13464;9593;6150;4448;5312;2772;2873;2200
112: Cávado;117804;99877;74747;53055;48935;69032;70224;103505;130988;177528;137758;110910;111508;89368;66834;54706;47112;65448;60026;95111;120543;167932;141025;107495;104038;101537;62854;51048;42243;62843;61684;91814;114169;169571;132992;103079;97205;90161;55729;49739;29663
1120301: Amares;4786;2940;1820;1240;1078;1766;1522;3043;5291;10856;7412;4357;4281;2965;2174;1320;684;1878;923;3329;4909;10689;7424;4166;4199;2930;1347;1236;826;2131;1434;3215;4594;11651;7020;4805;3396;3282;1487;1035;649
1120302: Barcelos;8429;7125;4924;3320;3079;5182;4314;5721;8677;12032;8064;6387;8249;6939;4175;2885;2525;3599;3291;5472;7858;10858;8516;7358;7481;7153;4840;2660;2863;3174;3903;5789;7045;11178;7518;5911;7413;5685;3683;2156;1245
1120303: Braga;66852;58449;51359;38202;36827;48608;49703;63010;70231;82046;67070;62893;62504;51586;43656;40106;36050;44738;41380;56889;62498;76155;67872;57952;59263;59395;42111;36962;32094;44568;45756;54257;61969;77495;64265;56548;57798;55243;39334;37741;22155
1120306: Esposende;21372;17675;8410;4511;3311;6265;7246;17633;22870;27838;24405;18258;20976;16530;9827;5207;3942;7221;8783;16497;21812;26279;23637;18992;19301;16520;9154;4920;2797;5460;5664;14954;18542;26027;23372;17040;16588;13123;6250;3795;2145
1120310: Terras de Bouro;11884;9791;4864;3794;3054;4421;5181;10861;19944;37809;26645;15816;12579;8746;4819;3515;2441;5804;3584;10365;20045;38093;29437;15744;10772;12610;3757;3924;2427;5075;3266;11543;18911;37499;26679;16099;9907;10318;3970;3854;2586
1120313: Vila Verde;4481;3897;3370;1988;1586;2790;2258;3237;3975;6947;4162;3199;2919;2602;2183;1673;1470;2208;2065;2559;3421;5858;4139;3283;3022;2929;1645;1346;1236;2435;1661;2056;3108;5721;4138;2676;2103;2510;1005;1158;883
119: Ave;64107;61294;46890;36731;36373;45813;47629;55685;72250;99892;75909;62203;59435;53594;47516;35694;30366;47982;40817;58342;67453;96111;76446;54403;51926;55884;39580;34278;28601;38767;37064;50243;57557;97433;68139;56034;47708;48999;34064;28404;19720
1190304: Cabeceiras de Basto;1505;1401;1300;659;685;1239;1209;1422;2430;5081;3028;1549;1857;1337;1206;495;180;934;744;1219;1338;3122;2093;1243;1463;1196;791;? ?;? ?;898;541;989;1683;3768;2670;1530;1204;1253;851;328;92
1190307: Fafe;3209;3413;1910;1533;1217;2173;1594;2323;4086;6252;4201;3208;3021;3126;1873;1716;1422;3160;2527;3048;4188;6198;4421;2616;2383;2710;2059;1520;1148;2317;1514;2529;2514;6807;4587;3170;3053;2707;2187;1439;861
1190308: Guimarães;36726;35169;27672;21397;21488;26823;28509;33223;40596;50859;39588;34528;37129;32905;30122;22337;18292;28821;24219;35030;37961;50863;40690;29660;31146;32298;23402;19606;16766;21918;21277;30259;32587;47812;32625;31771;28717;27779;19674;15566;10881
1191705: Mondim de Basto;4864;5171;4388;3816;4035;3853;3992;4782;? ?;8442;? ?;? ?;4324;? ?;? ?;3513;? ?;3679;3184;4325;5223;8192;6978;4794;3750;4938;3241;3508;3117;3516;3048;4133;4785;8225;6447;4518;4299;4490;2936;2968;2451
1190309: Póvoa de Lanhoso;2198;2121;1668;913;751;1491;1390;1241;2326;4298;2074;1638;478;1297;1276;1087;967;1609;995;1701;2317;4086;2384;1828;1227;1951;1177;1191;712;1524;1576;1415;1683;4756;2625;2602;1432;3047;1943;1594;356
1190311: Vieira do Minho;5840;5300;2764;2736;2603;3547;3206;4226;6780;13589;10060;6863;3608;2893;2245;1602;1610;2866;1818;4107;6742;12398;9440;5939;3464;4165;2043;2131;1688;2445;1628;3487;5479;13800;9683;5687;4374;4506;2206;2180;1800
1190312: Vila Nova de Famalicão;6792;6233;5429;4234;3963;4937;5626;6271;6545;8130;7696;6389;6041;4948;5057;3429;3192;4632;5693;6174;6992;7693;7680;5846;6184;6073;4714;3922;3537;3918;5638;4892;5677;9099;6658;4167;2845;2652;2545;2228;1616
1190314: Vizela;2973;2486;1759;1443;1631;1750;2103;2197;? ?;3241;? ?;? ?;2977;? ?;? ?;1515;? ?;2281;1637;2738;2692;3559;2760;2477;2309;2553;2153;? ?;? ?;2231;1842;2539;3149;3166;2844;2589;1784;2565;1722;2101;1663
11A: Área Metropolitana do Porto;979461;883614;699072;537994;482340;572856;671112;929421;973870;1112837;965309;870282;922937;786411;718035;531211;455607;548685;579541;876371;936093;1033195;896978;826349;856483;801958;623974;484083;434782;499770;520442;766829;803846;946825;833496;715584;716057;661930;450651;335013;219663
11A0104: Arouca;3169;3002;1830;1575;1350;1837;1865;2572;3790;7570;4796;3242;3264;3157;2118;1589;1340;2473;1492;2897;3646;6668;4426;3442;2768;3836;1689;1985;1326;1704;1250;2948;3680;6259;4446;3163;2999;3798;1693;1782;967
11A0107: Espinho;15490;14171;10029;7969;8265;10472;9540;11308;15815;22116;19454;13629;13037;10491;9260;6659;5875;9830;7398;11632;15698;20224;18962;13372;13070;11998;5926;6555;5857;8528;6256;10583;12997;14035;11848;10233;8989;8308;5112;4108;2883
11A1304: Gondomar;8494;7933;6930;5842;6047;7692;7921;9378;10191;13587;10635;8356;9130;8025;8348;6631;6609;7718;8048;9860;10551;13954;10999;8771;8054;7209;4605;3765;4053;4237;2326;4266;5784;8553;5500;3629;3302;760;185;395;401
11A1306: Maia;32821;30299;22915;18480;17858;20641;23561;31573;33203;37410;31660;30616;32741;28004;24862;17551;16847;20617;22180;31032;28286;33724;31003;30076;31505;29423;23784;16863;16632;17189;21312;29116;29358;34365;30857;28043;30546;28087;18287;13827;10476
