;Junho de 2025;Maio de 2025;Abril de 2025;Março de 2025;Fevereiro de 2025;Janeiro de 2025;Dezembro de 2024;Novembro de 2024;Outubro de 2024;Setembro de 2024;Agosto de 2024;Julho de 2024;Junho de 2024;Maio de 2024;Abril de 2024;Março de 2024;Fevereiro de 2024;Janeiro de 2024;Dezembro de 2023;Novembro de 2023;Outubro de 2023;Setembro de 2023;Agosto de 2023;Julho de 2023;Junho de 2023;Maio de 2023;Abril de 2023;Março de 2023;Fevereiro de 2023;Janeiro de 2023;Dezembro de 2022;Novembro de 2022;Outubro de 2022;Setembro de 2022;Agosto de 2022;Julho de 2022;Junho de 2022;Maio de 2022;Abril de 2022;Março de 2022;Fevereiro de 2022;Janeiro de 2022
111: Alto Minho;101225;95207;83831;56980;40169;36687;60047;54901;75659;108000;176406;123991;91618;88201;69559;57479;40167;31787;61198;40543;75093;103547;165190;124284;83553;76432;82527;45058;39256;31847;47643;38329;67842;91257;160781;117979;84320;71808;71462;44783;38613;25958
112: Cávado;114799;116883;99877;74747;53055;48935;69032;70224;103505;130988;177528;137758;110910;111508;89368;66834;54706;47112;65448;60026;95111;120543;167932;141025;107495;104038;101537;62854;51048;42243;62843;61684;91814;114169;169571;132992;103079;97205;90161;55729;49739;29663
119: Ave;62594;63614;61294;46890;36731;36373;45813;47629;55685;72250;99892;75909;62203;59435;53594;47516;35694;30366;47982;40817;58342;67453;96111;76446;54403;51926;55884;39580;34278;28601;38767;37064;50243;57557;97433;68139;56034;47708;48999;34064;28404;19720
11A: Área Metropolitana do Porto;924768;978145;883614;699072;537994;482340;572856;671112;929421;973870;1112837;965309;870282;922937;786411;718035;531211;455607;548685;579541;876371;936093;1033195;896978;826349;856483;801958;623974;484083;434782;499770;520442;766829;803846;946825;833496;715584;716057;661930;450651;335013;219663
11B: Alto Tâmega e Barroso;34472;30299;31460;23943;19000;16925;20095;21925;26907;36648;57845;37628;31327;26643;23833;20364;19282;15230;21327;17799;28983;33712;52180;34636;27162;22619;29871;16862;18659;14370;19716;15331;27806;31685;50747;32387;26025;22613;26163;14023;15402;11186
11C: Tâmega e Sousa;53046;50337;42920;29676;21041;19184;25995;30043;39005;48748;84316;59908;46402;44872;35364;30505;23917;19843;27619;23405;39068;48576;77320;57246;39354;36389;37205;21712;20692;18189;25580;21149;39149;47410;78005;57383;42499;37037;35296;22147;20349;17274
11D: Douro;71071;71319;54663;39648;27170;19074;28310;39955;66116;82485;98133;70759;64177;66959;49604;36237;27373;17425;28950;31046;63188;81287;92071;69259;61908;60899;56153;30861;25993;18769;28297;30592;61117;74131;95181;69380;59850;56703;49505;27441;23128;14131
11E: Terras de Trás-os-Montes;26148;23340;24755;20030;16114;13402;18322;18481;23481;27284;50977;31434;24620;23029;19217;18572;17298;13841;19201;15899;23632;26866;48292;29836;22409;21844;25619;16733;16772;12031;16730;14790;22259;25369;43305;28257;22904;19892;23623;16084;14495;9457
191: Região de Aveiro;84354;86597;78343;61342;43472;42688;58257;63033;74176;90184;139709;107891;83516;85760;71501;68398;49914;42525;61388;54306;80277;92602;133874;106776;80898;80724;84426;58803;49298;45073;57409;54478;78493;93367;133600;110147;79996;74752;73187;48182;44671;33037
192: Região de Coimbra;154347;156459;146034;105556;82476;77897;97005;106914;147187;179960;249799;186548;152380;148687;122845;110271;84787;75875;94310;85823;130978;166383;241842;183572;138962;146740;138579;95605;82990;72397;85629;85440;125406;152916;241425;186590;141903;126649;128403;83417;72672;51607
193: Região de Leiria;58571;64488;56600;42499;35589;35016;39138;44221;55532;70585;103138;70861;55226;57246;43773;41000;32316;31931;38803;34776;51147;62563;96705;70462;49862;50775;45941;36250;30368;30418;33239;35757;47338;58267;101778;69570;52539;50219;43932;30530;27217;20999
194: Viseu Dão Lafões;52802;53047;55331;46922;36312;30091;39223;48151;56682;65599;105143;60721;52344;50076;48912;46380;33279;26257;39828;39479;53099;66097;93074;55709;48401;43776;46849;31261;29838;23944;34292;32757;48931;59346;92245;59314;46431;43657;42629;30750;24848;16469
195: Beira Baixa;26413;25593;24491;18174;15085;13579;17430;18202;24214;27734;42825;30796;27066;25051;20955;20434;17171;12991;20169;17638;25720;26145;43444;34767;25297;22726;25529;17649;17084;14282;16424;16639;23725;25481;40589;31260;25353;23440;25628;17224;14990;13000
196: Beiras e Serra da Estrela;78219;75375;83410;87631;76857;79983;84729;78450;75553;85617;132314;82373;74273;74410;74354;84742;81645;74606;84334;58110;64396;78123;122559;85120;74263;63130;77911;60494;82624;69364;70980;54506;63573;66686;116453;80312;68108;56939;74843;61083;61968;60803
1D1: Oeste;157404;132097;126350;99787;68616;61545;84787;91790;133502;171098;263218;201886;148599;138882;121199;108906;78177;58596;92956;85602;147278;176592;262742;204860;152125;128154;136600;93369;73024;53481;79254;76477;125080;156052;250288;198548;142749;110452;116257;70276;52955;35673
1D2: Médio Tejo;144861;175843;141154;110710;68599;58651;74272;122553;184562;183089;199802;147084;147117;168289;144581;112179;73616;55072;72203;106633;168341;176207;194316;146019;133386;143872;133024;76318;56464;41759;53746;83100;143362;141544;170199;120082;104150;107003;95469;50486;37165;20852
1D3: Lezíria do Tejo;25727;28199;23092;17757;16434;14436;16376;22477;24038;25246;34493;29940;26073;27018;22911;20074;15350;16647;15816;20887;23685;24414;33483;29590;24919;24584;21303;17858;13771;13920;14713;18970;21567;24760;31879;25197;22349;20274;18159;14246;9786;7841
