Lugar,2024-Total,2024-Hotelaria,2024-Alojamento local,2024-Turismo no espaço rural e de habitação,2023-Total,2023-Hotelaria,2023-Alojamento local,2023-Turismo no espaço rural e de habitação,2022-Total,2022-Hotelaria,2022-Alojamento local,2022-Turismo no espaço rural e de habitação
Arcos de Valdevez,57,4,12,41,57,5,8,44,50,5,5,40
Caminha,28,7,15,6,26,6,13,7,25,6,9,10
Melgaço,27,4,1,22,26,5,1,20,24,4,1,19
Monção,21,4,4,13,19,4,3,12,16,4,3,9
Paredes de Coura,18,0,7,11,18,0,7,11,14,0,5,9
Ponte da Barca,34,3,3,28,36,3,2,31,36,2,3,31
Ponte de Lima,83,3,24,56,81,3,23,55,71,3,21,47
Valença,19,6,12,1,16,6,9,1,17,6,9,2
Viana do Castelo,65,18,22,25,60,17,15,28,57,18,15,24
Vila Nova de Cerveira,10,5,3,2,14,5,6,3,15,5,8,2
Amares,34,5,9,20,35,5,11,19,31,5,9,17
Barcelos,26,3,13,10,26,3,12,11,24,3,11,10
Braga,64,28,32,4,62,28,28,6,53,28,21,4
Esposende,26,6,20,0,23,6,17,0,20,6,14,0
Terras de Bouro,70,14,33,23,69,14,31,24,64,14,29,21
Vila Verde,19,3,5,11,18,2,5,11,17,2,5,10
Cabeceiras de Basto,20,1,11,8,15,0,7,8,15,0,5,10
Fafe,18,2,4,12,18,2,4,12,16,2,5,9
Guimarães,57,19,23,15,55,18,23,14,45,18,16,11
Mondim de Basto,13,1,8,4,9,1,4,4,8,1,4,3
Póvoa de Lanhoso,15,1,3,11,12,1,2,9,12,1,2,9
Vieira do Minho,44,4,20,20,41,4,19,18,46,5,18,23
Vila Nova de Famalicão,14,3,10,1,11,3,7,1,10,3,6,1
Vizela,4,2,2,0,4,2,2,0,4,2,2,0
Arouca,22,2,6,14,22,1,5,16,23,1,6,16
Espinho,12,5,7,0,11,5,6,0,11,5,6,0
Gondomar,11,2,7,2,11,2,7,2,10,1,7,2
Maia,21,12,8,1,19,12,6,1,17,12,5,0
