Lugar,Dec2024-Hotelaria,Dec2024-Alojamento local,Dec2024-Turismo no espaço rural e de habitação,Nov2024-Hotelaria,Nov2024-Alojamento local,Nov2024-Turismo no espaço rural e de habitação,Out2024-Hotelaria,Out2024-Alojamento local,Out2024-Turismo no espaço rural e de habitação,Set2024-Hotelaria,Set2024-Alojamento local,Set2024-Turismo no espaço rural e de habitação,Ago2024-Hotelaria,Ago2024-Alojamento local,Ago2024-Turismo no espaço rural e de habitação,Jul2024-Hotelaria,Jul2024-Alojamento local,Jul2024-Turismo no espaço rural e de habitação,Jun2024-Hotelaria,Jun2024-Alojamento local,Jun2024-Turismo no espaço rural e de habitação,Mai2024-Hotelaria,Mai2024-Alojamento local,Mai2024-Turismo no espaço rural e de habitação,Abr2024-Hotelaria,Abr2024-Alojamento local,Abr2024-Turismo no espaço rural e de habitação,Mar2024-Hotelaria,Mar2024-Alojamento local,Mar2024-Turismo no espaço rural e de habitação,Fev2024-Hotelaria,Fev2024-Alojamento local,Fev2024-Turismo no espaço rural e de habitação,Jan2024-Hotelaria,Jan2024-Alojamento local,Jan2024-Turismo no espaço rural e de habitação,Dec2023-Hotelaria,Dec2023-Alojamento local,Dec2023-Turismo no espaço rural e de habitação,Nov2023-Hotelaria,Nov2023-Alojamento local,Nov2023-Turismo no espaço rural e de habitação,Out2023-Hotelaria,Out2023-Alojamento local,Out2023-Turismo no espaço rural e de habitação,Set2023-Hotelaria,Set2023-Alojamento local,Set2023-Turismo no espaço rural e de habitação,Ago2023-Hotelaria,Ago2023-Alojamento local,Ago2023-Turismo no espaço rural e de habitação,Jul2023-Hotelaria,Jul2023-Alojamento local,Jul2023-Turismo no espaço rural e de habitação,Jun2023-Hotelaria,Jun2023-Alojamento local,Jun2023-Turismo no espaço rural e de habitação,Mai2023-Hotelaria,Mai2023-Alojamento local,Mai2023-Turismo no espaço rural e de habitação,Abr2023-Hotelaria,Abr2023-Alojamento local,Abr2023-Turismo no espaço rural e de habitação,Mar2023-Hotelaria,Mar2023-Alojamento local,Mar2023-Turismo no espaço rural e de habitação,Fev2023-Hotelaria,Fev2023-Alojamento local,Fev2023-Turismo no espaço rural e de habitação,Jan2023-Hotelaria,Jan2023-Alojamento local,Jan2023-Turismo no espaço rural e de habitação,Dez2022-Hotelaria,Dez2022-Alojamento local,Dez2022-Turismo no espaço rural e de habitação,Nov2022-Hotelaria,Nov2022-Alojamento local,Nov2022-Turismo no espaço rural e de habitação,Out2022-Hotelaria,Out2022-Alojamento local,Out2022-Turismo no espaço rural e de habitação,Set2022-Hotelaria,Set2022-Alojamento local,Set2022-Turismo no espaço rural e de habitação,Ago2022-Hotelaria,Ago2022-Alojamento local,Ago2022-Turismo no espaço rural e de habitação,Jul2022-Hotelaria,Jul2022-Alojamento local,Jul2022-Turismo no espaço rural e de habitação,Jun2022-Hotelaria,Jun2022-Alojamento local,Jun2022-Turismo no espaço rural e de habitação,Mai2022-Hotelaria,Mai2022-Alojamento local,Mai2022-Turismo no espaço rural e de habitação,Abr2022-Hotelaria,Abr2022-Alojamento local,Abr2022-Turismo no espaço rural e de habitação,Mar2022-Hotelaria,Mar2022-Alojamento local,Mar2022-Turismo no espaço rural e de habitação,Fev2022-Hotelaria,Fev2022-Alojamento local,Fev2022-Turismo no espaço rural e de habitação,Jan2022-Hotelaria,Jan2022-Alojamento local,Jan2022-Turismo no espaço rural e de habitação,Total2024,Total2024-Hotel,Total2024-AL,Total2024-Rural,Total2023,Total2023-Hotel,Total2023-AL,Total2023-Rural,Total2022,Total2022-Hotel,Total2022-AL,Total2022-Rural
Arcos de Valdevez,4995,338,2414,4002,193,1658,5086,294,2203,6811,454,3760,9116,1783,7966,7237,880,5840,5440,716,3686,4950,624,2701,4488,291,2183,0,0,1761,0,0,0,0,0,708,5241,372,2082,3223,104,834,4479,218,2098,5757,302,3385,8509,1416,7110,6179,813,5302,3802,955,3092,3993,275,2180,4986,272,2851,1668,194,1256,1611,0,0,1586,0,0,1708,153,2137,1452,121,1065,3213,253,2339,5191,342,3108,8319,1233,6077,5987,772,4029,4725,515,2811,4473,234,1672,4538,337,1844,3756,263,905,2921,0,0,1892,0,0,92578,52125,5573,34880,86145,51034,4921,30190,78385,48175,4223,25987
Caminha,4715,478,205,3671,383,214,5225,0,0,9510,5080,709,18504,6413,1888,11886,4926,1179,7458,3406,463,7549,4386,379,6000,2862,254,4685,0,0,2932,113,86,2123,0,0,5392,201,385,3235,149,105,6136,2288,201,10224,4870,371,17405,5269,1345,13315,4025,844,7320,2819,379,6689,3079,272,8648,2432,300,3664,395,170,3710,186,145,2767,170,98,4178,248,110,3148,249,61,6392,1666,364,9324,3210,761,17429,4358,2144,13189,3740,1318,8377,2927,759,7118,2734,289,6883,2185,251,5092,943,61,3990,519,87,2750,306,48,117682,84258,28047,5377,119003,88505,25883,4615,117208,87870,23085,6253
Melgaço,0,0,0,0,0,0,3958,0,295,4734,0,0,5798,0,0,4581,0,0,4501,0,583,4084,0,409,0,0,0,0,0,0,1877,0,254,0,0,0,0,0,0,0,0,0,3946,0,337,4556,0,0,6629,0,0,0,0,0,3577,0,424,3632,0,365,4318,0,493,2335,0,172,1799,0,229,0,0,0,2077,0,302,2424,0,192,3386,0,332,0,0,0,0,0,0,0,0,0,4099,0,657,3129,0,661,3461,0,726,2080,0,164,1679,0,116,0,0,0,31074,29533,0,1541,32812,30792,0,2020,25485,22335,0,3150
Monção,2197,324,883,0,0,0,3615,193,366,3223,314,1395,5506,546,3794,2835,329,1991,3200,185,1289,2239,281,777,2433,128,570,1963,0,0,1743,0,0,1413,0,0,2663,59,776,2010,0,0,3029,0,0,3493,269,993,5326,113,2822,3069,120,1650,3036,0,0,2603,52,525,3120,89,764,2759,0,0,1988,0,0,1919,0,0,0,0,0,0,0,0,0,0,0,2893,113,1073,5440,189,2303,3256,69,1499,2863,68,998,0,0,0,0,0,0,1986,0,389,1602,0,375,1022,0,0,43732,30367,2300,11065,43247,35015,702,7530,26138,19062,439,6637
Paredes de Coura,0,270,142,0,154,187,0,161,263,0,399,563,0,1689,1192,0,1057,602,0,357,560,0,0,0,0,0,0,0,216,193,0,0,0,0,0,0,0,357,280,0,141,29,0,168,153,0,569,420,0,1652,1537,0,1016,545,0,0,0,0,0,0,0,616,463,0,193,246,0,64,63,0,41,31,0,89,181,0,130,57,0,0,0,0,551,647,0,1727,1699,0,909,593,0,304,817,0,0,0,0,266,169,0,0,0,0,127,102,0,123,78,8005,0,4303,3702,8584,0,4817,3767,8569,0,4226,4343
Ponte da Barca,0,0,1044,727,66,875,988,62,1198,1651,164,2308,3092,727,6142,1666,248,2811,0,0,1458,1012,106,1326,0,0,1007,0,0,0,0,0,659,0,0,571,0,0,0,684,24,846,1295,0,0,1395,0,0,2573,0,0,0,0,0,1208,0,0,1120,0,0,1671,0,0,1057,37,836,1072,25,730,0,0,555,0,0,1079,0,0,807,0,0,1374,0,0,2274,0,0,5728,0,0,3248,0,243,0,0,0,1521,0,0,1496,0,0,700,0,0,0,0,0,485,29908,9136,1373,19399,15128,12075,86,2967,18955,0,243,18712
Ponte de Lima,3282,1371,2567,2898,1051,2468,3466,1648,3817,4518,2572,6001,5923,5282,13736,4523,3279,8376,3749,2237,4318,4379,1923,4916,0,0,2771,0,0,2149,2547,870,1389,0,0,1006,3665,1536,2282,2456,754,1321,3795,1998,3527,4804,3279,5174,5531,5276,12964,4572,4173,9185,3497,2827,4622,3890,2163,3820,4436,1783,3994,3007,619,1580,2533,568,1482,2203,596,1422,3304,1004,1369,2396,928,717,3993,1937,2454,4688,3271,4062,6122,4718,10272,4618,2983,7367,3724,2165,3921,4033,1711,2752,3998,1737,2877,2485,883,1150,2724,771,1222,1725,288,820,109032,35285,20233,53514,121334,44389,25572,51373,105189,43810,22396,38983
Valença,2755,0,0,2674,1115,0,4039,1567,0,6598,0,0,7350,0,0,5135,0,0,4112,0,0,4853,2241,0,3987,1338,0,2971,0,0,2311,314,0,1753,224,0,3631,0,0,2269,0,0,3768,0,0,5261,0,0,7599,0,0,4802,0,0,4270,0,0,4166,0,0,4609,0,0,2397,0,0,2075,318,0,2185,0,0,3194,0,0,2505,0,0,4008,0,0,5045,0,0,8464,0,0,4936,0,0,4523,0,0,3980,1283,0,0,0,0,0,0,0,2056,500,0,1397,247,0,55337,48538,6799,0,47350,47032,318,0,42138,40108,2030,0
Viana do Castelo,20288,1829,995,19372,1760,886,23720,3160,2110,28566,4893,3892,36490,7020,7779,31903,5585,5630,26058,4524,3466,26229,4692,2327,20707,3045,1493,17809,2266,932,14106,1104,530,12387,1249,430,18871,2049,1193,13969,1255,456,23695,2749,1926,27807,3430,4663,35329,5498,8191,31707,4020,6766,23612,3207,2945,23753,2529,2204,22920,2307,1826,15877,1765,540,14015,1171,364,11339,1034,392,15500,1387,970,13265,1607,565,20368,2244,1758,21898,2558,3792,33656,4329,8081,30016,3835,6154,22356,2614,3727,22071,2509,2231,21306,2130,1672,14224,1615,627,12298,1322,637,8681,1130,617,349232,277635,41127,30470,325374,262894,31014,31466,293750,235639,27280,30831
Vila Nova de Cerveira,4202,0,0,0,0,0,5130,0,0,6031,0,0,10077,857,956,6133,0,0,0,0,0,4559,0,0,4040,0,0,4091,0,0,2761,0,0,2354,0,0,0,0,0,0,61,0,5324,0,0,6436,287,591,10685,916,887,7054,1072,886,5659,369,388,4768,0,0,5783,0,0,3176,0,0,2978,0,0,2289,0,0,4304,0,0,2945,0,0,5177,0,0,6614,397,425,11125,0,0,8041,0,0,0,0,0,4126,0,0,4853,0,0,2552,220,0,0,0,0,2017,183,0,51191,49378,857,956,59609,54152,2705,2752,52979,51754,800,425
