Lugar,2024,2023,2022
Arcos de Valdevez,20839,20786,20703
Caminha,16523,16324,16078
Melgaço,7578,7607,7654
Monção,18018,17973,17886
Paredes de Coura,8698,8692,8679
Ponte da Barca,11194,11141,11077
Ponte de Lima,41098,41098,41103
Valença,14228,14045,13867
Viana do Castelo,86877,86517,86130
Vila Nova de Cerveira,9376,9259,9098
Amares,19680,19397,19041
Barcelos,116982,116844,116663
Braga,202551,199919,196764
Esposende,37425,36795,36101
Terras de Bouro,6372,6377,6367
Vila Verde,48425,47835,47233
Cabeceiras de Basto,15549,15534,15519
Fafe,48467,48432,48358
Guimarães,156651,156641,156491
Mondim de Basto,6399,6407,6419
Póvoa de Lanhoso,22769,22459,22210
Vieira do Minho,12066,12023,11989
Vila Nova de Famalicão,136349,135531,134576
Vizela,24608,24413,24191
Arouca,20871,20929,20991
Espinho,32564,32138,31662
Gondomar,168985,167916,166463
Maia,143629,141463,138963
Matosinhos,180302,178350,175893
Oliveira de Azeméis,67374,67073,66743
Paredes,86287,85700,85178
Porto,250728,245892,239509
Póvoa de Varzim,67992,66892,65685
Santa Maria da Feira,140202,139195,137960
Santo Tirso,67769,67765,67684
São João da Madeira,24055,23605,23068
Trofa,40145,39788,39291
Vale de Cambra,21245,21247,21266
Valongo,100815,99288,97529
Vila do Conde,85371,84202,82806
Vila Nova de Gaia,312103,309882,307223
Boticas,4858,4892,4916
Chaves,37370,37372,37376
Montalegre,9121,9140,9171
Ribeira de Pena,5850,5848,5847
Valpaços,14561,14573,14571
Vila Pouca de Aguiar,11795,11762,11773
Amarante,52202,52153,52066
Baião,17144,17239,17357
Castelo de Paiva,15421,15420,15421
Celorico de Basto,17646,17615,17603
Cinfães,17362,17496,17630
Felgueiras,55326,55422,55535
Lousada,48480,48120,47780
Marco de Canaveses,49538,49518,49504
Paços de Ferreira,56026,55931,55812
Penafiel,70370,70159,69924
Resende,9695,9811,9915
Alijó,10310,10343,10401
Armamar,5642,5671,5710
Carrazeda de Ansiães,5379,5393,5410
Freixo de Espada à Cinta,3098,3155,3198
Lamego,24083,24146,24197
Mesão Frio,3467,3499,3525
Moimenta da Beira,9754,9674,9557
Murça,5242,5239,5230
Penedono,2806,2797,2793
Peso da Régua,14338,14414,14460
Sabrosa,5630,5616,5583
Santa Marta de Penaguião,5966,5988,6016
São João da Pesqueira,6757,6774,6795
Sernancelhe,5805,5765,5718
Tabuaço,5041,5047,5041
Tarouca,7659,7546,7429
Torre de Moncorvo,6687,6740,6762
Vila Nova de Foz Côa,6376,6343,6308
Vila Real,49985,49795,49630
Alfândega da Fé,4200,4233,4258
Bragança,35503,35230,34886
Macedo de Cavaleiros,14244,14198,14163
Miranda do Douro,6259,6325,6375
Mirandela,21367,21355,21327
Mogadouro,8203,8248,8277
Vila Flor,6030,6033,6042
Vimioso,4175,4161,4143
Vinhais,7402,7481,7568
Águeda,47473,46941,46578
Albergaria-a-Velha,25975,25551,25262
Anadia,28358,28040,27874
Aveiro,87095,84919,83195
Estarreja,27285,26876,26595
Ílhavo,42669,41533,40585
Murtosa,11198,10879,10695
Oliveira do Bairro,25417,24652,24011
Ovar,57207,56311,55735
Sever do Vouga,10983,10929,10964
Vagos,24809,24090,23564
Arganil,11380,11227,11154
Cantanhede,35157,34681,34418
Coimbra,145860,143817,142351
Condeixa-a-Nova,17718,17379,17099
Figueira da Foz,61033,60245,59612
Góis,3811,3786,3777
Lousã,17540,17317,17188
Mealhada,19905,19705,19583
Mira,12621,12407,12267
Miranda do Corvo,12193,12074,12050
Montemor-o-Velho,25010,24805,24720
Mortágua,9081,9002,8978
Oliveira do Hospital,19537,19388,19392
Pampilhosa da Serra,4160,4106,4073
Penacova,12935,12903,12952
Penela,5662,5573,5518
Soure,17270,17193,17213
Tábua,11693,11506,11378
Vila Nova de Poiares,7200,7097,7028
Alvaiázere,6417,6322,6300
Ansião,11897,11785,11708
Batalha,16729,16349,15984
Castanheira de Pêra,2733,2696,2688
Figueiró dos Vinhos,5297,5241,5239
Leiria,134900,132613,130761
Marinha Grande,41392,40575,39894
Pedrógão Grande,3672,3576,3514
Pombal,52299,51689,51397
Porto de Mós,24154,23832,23593
Aguiar da Beira,5314,5293,5299
Carregal do Sal,9219,9127,9082
Castro Daire,13761,13677,13652
Mangualde,18679,18461,18347
Nelas,13415,13239,13182
Oliveira de Frades,9801,9693,9640
Penalva do Castelo,7378,7311,7305
Santa Comba Dão,10973,10864,10796
São Pedro do Sul,15246,15131,15121
Sátão,11201,11087,11032
Tondela,25890,25738,25775
Vila Nova de Paiva,4794,4721,4687
Viseu,102739,101171,100301
Vouzela,9786,9708,9680
Castelo Branco,53127,52706,52486
Idanha-a-Nova,8516,8449,8405
Oleiros,4899,4881,4905
Penamacor,4809,4772,4772
Proença-a-Nova,7096,7097,7117
Sertã,14941,14883,14869
Vila de Rei,3448,3423,3394
Vila Velha de Ródão,3546,3491,3449
Almeida,5655,5686,5740
Belmonte,6240,6197,6191
Celorico da Beira,6620,6571,6551
Covilhã,46490,46228,46233
Figueira de Castelo Rodrigo,5032,5054,5077
Fornos de Algodres,4391,4378,4396
Fundão,27133,26805,26640
Gouveia,12261,12168,12176
Guarda,40028,39952,40015
Manteigas,2944,2935,2941
Mêda,4583,4574,4593
Pinhel,7833,7873,7950
Sabugal,11280,11239,11281
Seia,21425,21440,21574
Trancoso,8357,8301,8343
Alcobaça,57665,56848,56037
Alenquer,48896,47619,46407
Arruda dos Vinhos,15536,15115,14670
Bombarral,14131,13769,13391
Cadaval,14573,14251,13954
Caldas da Rainha,54675,53442,52356
Lourinhã,28680,28025,27326
Nazaré,15777,15525,15204
Óbidos,13507,13060,12618
Peniche,27673,27349,26943
Sobral de Monte Agraço,12046,11673,11296
Torres Vedras,88773,87061,85519
Abrantes,33790,33834,34015
Alcanena,12813,12682,12579
Constância,3989,3917,3849
Entroncamento,22294,21665,21116
Ferreira do Zêzere,8066,7957,7885
Mação,6401,6395,6418
Ourém,46750,46103,45482
Sardoal,3631,3598,3561
Tomar,36949,36658,36501
Torres Novas,34852,34559,34369
Vila Nova da Barquinha,7907,7642,7396
Almeirim,22953,22705,22458
Alpiarça,7412,7272,7152
Azambuja,23190,22647,22173
Benavente,32727,31959,31171
Cartaxo,24535,24178,23852
Chamusca,8540,8545,8551
Coruche,17331,17369,17412
Golegã,5465,5429,5409
Rio Maior,22496,22134,21756
Salvaterra de Magos,23582,23100,22579
Santarém,61336,60672,60049
Amadora,179930,176680,174131
Cascais,220987,218431,215551
Lisboa,571435,562325,551331
Loures,208471,205742,203560
Mafra,90688,89738,88635
Odivelas,154993,152425,150131
Oeiras,176771,174763,172843
Sintra,398237,393097,388950
Vila Franca de Xira,140081,138958,138072
Alcochete,20281,19962,19645
Almada,182437,180301,178671
Barreiro,80548,79486,78856
Moita,69674,68399,67437
Montijo,59904,58620,57479
Palmela,73700,72295,70957
Seixal,175023,171683,169153
Sesimbra,56040,55058,54004
Setúbal,123943,123405,123195
Alcácer do Sal,11059,11069,11085
Grândola,14195,14084,13996
Odemira,33495,32528,31311
Santiago do Cacém,28270,28186,28082
Sines,14783,14708,14557
Aljustrel,8922,8914,8907
Almodôvar,6673,6691,6727
Alvito,2291,2271,2280
Barrancos,1422,1443,1477
Beja,33896,33727,33630
Castro Verde,6955,6961,6945
Cuba,4470,4459,4429
Ferreira do Alentejo,7907,7888,7850
Mértola,6101,6158,6214
Moura,13325,13323,13319
Ourique,4807,4824,4821
Serpa,13702,13738,13756
Vidigueira,5245,5235,5229
Alter do Chão,3201,3172,3147
Arronches,2767,2772,2781
Avis,3780,3793,3805
Campo Maior,7896,7936,7993
Castelo de Vide,3188,3203,3206
Crato,3262,3268,3253
Elvas,20368,20432,20542
Fronteira,2974,2957,2947
Gavião,3293,3342,3371
Marvão,3022,3030,3053
Monforte,3009,2988,2990
Nisa,5659,5704,5777
Ponte de Sor,15165,15211,15239
Portalegre,21834,21983,22151
Sousel,4402,4397,4409
Alandroal,4984,5002,5020
Arraiolos,6824,6761,6730
Borba,6388,6400,6433
Estremoz,12516,12588,12679
Évora,53922,53862,53834
